movie_id,movie_title,year_released,imdb_id,tmdb_id,genres,production_countries,spoken_languages,popularity,overview,runtime,vote_average,vote_count,release_date,original_language
carlitos-way,Carlito's Way,1993,tt0106519,6075,"['Crime', 'Drama', 'Romance', 'Thriller']",['United States of America'],"['English', 'Español']",25.246,"A Puerto-Rican ex-con, just released from prison, pledges to stay away from drugs and violence despite the pressure around him, and lead a better life outside NYC.",144,7.8,2911,1993-11-10,en
fair-play-2023,Fair Play,2023,tt16304446,910571,['Thriller'],['United States of America'],"['English', 'Pусский', 'Français']",80.141,"An unexpected promotion at a cutthroat hedge fund pushes a young couple's relationship to the brink, threatening to unravel not only their recent engagement but their lives.",113,6.448,320,2023-09-28,en
barbie,Barbie,2023,tt1517268,346698,"['Comedy', 'Adventure', 'Fantasy']","['United Kingdom', 'United States of America']",['English'],464.685,"Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the joys and perils of living among humans.",114,7.162,6533,2023-07-19,en
a-star-is-born-2018,A Star Is Born,2018,tt1517451,332562,"['Music', 'Drama', 'Romance']",['United States of America'],['English'],39.675,"Seasoned musician Jackson Maine discovers — and falls in love with — struggling artist Ally. She has just about given up on her dream to make it big as a singer — until Jack coaxes her into the spotlight. But even as Ally's career takes off, the personal side of their relationship is breaking down, as Jack fights an ongoing battle with his own internal demons.",136,7.501,11194,2018-10-03,en
memories-of-murder,Memories of Murder,2003,tt0353969,11423,"['Crime', 'Drama', 'Thriller']",['South Korea'],"['한국어/조선말', 'English']",43.356,"During the late 1980s, two detectives in a South Korean province attempt to solve the nation's first series of rape-and-murder cases.",131,8.1,3428,2003-05-02,ko
the-godfather-part-ii,The Godfather: Part II,1974,tt0071562,240,"['Drama', 'Crime']",['United States of America'],"['English', 'Italiano', 'Latin', 'Español']",65.237,"In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.",202,8.589,11572,1974-12-20,en
the-godfather,The Godfather,1972,tt0068646,238,"['Drama', 'Crime']",['United States of America'],"['English', 'Italiano', 'Latin']",142.126,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",175,8.708,19197,1972-03-14,en
psycho,Psycho,1960,tt0054215,539,"['Horror', 'Thriller', 'Mystery']",['United States of America'],['English'],40.679,"When larcenous real estate clerk Marion Crane goes on the lam with a wad of cash and hopes of starting a new life, she ends up at the notorious Bates Motel, where manager Norman Bates cares for his housebound mother.",109,8.4,9470,1960-06-22,en
rear-window,Rear Window,1954,tt0047396,567,"['Thriller', 'Mystery']",['United States of America'],['English'],35.267,A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,112,8.357,6026,1954-08-01,en
heat-1995,Heat,1995,tt0113277,949,"['Action', 'Crime', 'Drama']",['United States of America'],"['English', 'Español']",55.969,Obsessive master thief Neil McCauley leads a top-notch crew on various daring heists throughout Los Angeles while determined detective Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.,170,7.911,6719,1995-12-15,en
fargo,Fargo,1996,tt0116282,275,"['Crime', 'Drama', 'Thriller']","['United Kingdom', 'United States of America']",['English'],52.176,"Jerry, a small-town Minnesota car salesman is bursting at the seams with debt... but he's got a plan. He's going to hire two thugs to kidnap his wife in a scheme to collect a hefty ransom from his wealthy father-in-law. It's going to be a snap and nobody's going to get hurt... until people start dying. Enter Police Chief Marge, a coffee-drinking, parka-wearing - and extremely pregnant - investigator who'll stop at nothing to get her man. And if you think her small-time investigative skills will give the crooks a run for their ransom... you betcha!",98,7.866,7439,1996-03-08,en
spider-man-across-the-spider-verse,Spider-Man: Across the Spider-Verse,2023,tt9362722,569094,"['Animation', 'Action', 'Adventure', 'Science Fiction']",['United States of America'],"['English', 'हिन्दी', 'Italiano', 'Español']",350.473,"After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.",140,8.386,5309,2023-05-31,en
watchmen,Watchmen,2009,tt0409459,13183,"['Action', 'Mystery', 'Science Fiction']",['United States of America'],['English'],54.523,"In a gritty and alternate 1985 the glory days of costumed vigilantes have been brought to a close by a government crackdown, but after one of the masked veterans is brutally murdered, an investigation into the killer is initiated. The reunited heroes set out to prevent their own destruction, but in doing so uncover a sinister plot that puts all of humanity in grave danger.",163,7.335,8622,2009-03-04,en
terminator-2-judgment-day,Terminator 2: Judgment Day,1991,tt0103064,280,"['Action', 'Thriller', 'Science Fiction']","['France', 'United States of America']","['English', 'Español']",74.846,"Set ten years after the events of the original, James Cameron’s classic sci-fi action flick tells the story of a second attempt to get the rid of rebellion leader John Connor, this time targeting the boy himself. However, the rebellion has sent a reprogrammed terminator to protect Connor.",137,8.106,11974,1991-07-03,en
ruin-money-ego-and-deception-at-ftx,"RUIN: Money, Ego and Deception at FTX",2023,,1190915,['Documentary'],['United States of America'],['English'],2.838,"RUIN is a feature documentary about Sam Bankman-Fried and the stunning collapse of his cryptocurrency exchange, FTX, as narrated by Bloomberg journalists and some of the central players in the rise of digital assets.",108,0.0,0,2023-10-25,en
phantom-of-the-paradise,Phantom of the Paradise,1974,tt0071994,27327,"['Music', 'Comedy', 'Horror']",['United States of America'],['English'],13.617,"Fledgling singer-songwriter Winslow Leach finds himself double-crossed by the nefarious music producer Swan, who steals both his music and the girl Winslow wants to sing it, Phoenix, for the grand opening of his rock palace, the Paradise. After Swan has Winslow sent to prison for trespassing, Winslow endures a freak accident that leaves him disfigured, after which he seeks revenge on both Swan and the Paradise.",92,7.472,595,1974-10-31,en
king-of-new-york,King of New York,1990,tt0099939,9558,"['Thriller', 'Crime']","['Italy', 'United Kingdom', 'United States of America']","['English', 'Español']",15.131,A former drug lord returns from prison determined to wipe out all his competition and distribute the profits of his operations to New York's poor and lower classes in this stylish and ultra violent modern twist on Robin Hood.,103,6.716,580,1990-07-18,en
gone-girl,Gone Girl,2014,tt2267998,210577,"['Mystery', 'Thriller', 'Drama']",['United States of America'],['English'],92.183,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",149,7.893,17618,2014-10-01,en
the-batman,The Batman,2022,tt1877830,414906,"['Crime', 'Mystery', 'Thriller']",['United States of America'],['English'],135.954,"In his second year of fighting crime, Batman uncovers corruption in Gotham City that connects to his own family while facing a serial killer known as the Riddler.",177,7.699,8940,2022-03-01,en
alien,Alien,1979,tt0078748,348,"['Horror', 'Science Fiction']","['United States of America', 'United Kingdom']","['English', 'Español']",79.432,"During its return to the earth, commercial spaceship Nostromo intercepts a distress signal from a distant planet. When a three-member team of the crew discovers a chamber containing thousands of eggs on the planet, a creature inside one of the eggs attacks an explorer. The entire crew is unaware of the impending nightmare set to descend upon them when the alien parasite planted inside its unfortunate host is birthed.",117,8.152,13476,1979-05-25,en
the-real-sopranos,The Real Sopranos,2006,tt0899094,716912,['Documentary'],['United Kingdom'],['English'],1.975,This movie shows the connections between the TV series 'The Sopranos' and a real-life New Jersey Mob. The story of the rise and fall of New Jersey’s DeCavalcante crime family,48,0.0,0,2006-04-26,en
goodfellas,GoodFellas,1990,tt0099685,769,"['Drama', 'Crime']",['United States of America'],"['Italiano', 'English']",81.767,"The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.",145,8.466,11996,1990-09-12,en
back-to-the-future,Back to the Future,1985,tt0088763,105,"['Adventure', 'Comedy', 'Science Fiction']",['United States of America'],['English'],75.318,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.",116,8.314,18768,1985-07-03,en
game-of-thrones-conquest-rebellion-an-animated-history-of-the-seven-kingdoms,Game of Thrones - Conquest & Rebellion: An Animated History of the Seven Kingdoms,2017,tt7937220,492606,"['Animation', 'Fantasy', 'War', 'TV Movie']",['United States of America'],['English'],43.324,HBO's animated history of Westeros brings to life all the events that shaped the Seven Kingdoms in the thousands of years before Game of Thrones' story begins.,45,7.75,85,2017-12-12,en
the-fly-1986,The Fly,1986,tt0091064,9426,"['Horror', 'Science Fiction']","['Canada', 'United Kingdom', 'United States of America']",['English'],50.955,"When Seth Brundle makes a huge scientific and technological breakthrough in teleportation, he decides to test it on himself. Unbeknownst to him, a common housefly manages to get inside the device and the two become one.",96,7.393,4059,1986-08-15,en
the-king-of-comedy,The King of Comedy,1982,tt0085794,262,"['Drama', 'Comedy']",['United States of America'],['English'],25.568,"Aspiring comic Rupert Pupkin attempts to achieve success in show business by stalking his idol, a late night talk-show host who craves his own privacy.",109,7.796,2081,1982-12-18,en
interstellar,Interstellar,2014,tt0816692,157336,"['Adventure', 'Drama', 'Science Fiction']","['United Kingdom', 'United States of America']",['English'],189.976,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,169,8.423,33195,2014-11-05,en
joker-2019,Joker,2019,tt7286456,475557,"['Crime', 'Thriller', 'Drama']","['Canada', 'United States of America']",['English'],78.429,"During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.",122,8.165,23830,2019-10-01,en
uncut-gems,Uncut Gems,2019,tt5727208,473033,"['Drama', 'Thriller', 'Crime']",['United States of America'],['English'],37.983,"A charismatic New York City jeweler always on the lookout for the next big score makes a series of high-stakes bets that could lead to the windfall of a lifetime. Howard must perform a precarious high-wire act, balancing business, family, and encroaching adversaries on all sides in his relentless pursuit of the ultimate win.",136,7.146,4348,2019-08-30,en
the-punisher-2004,The Punisher,2004,tt0330793,7220,"['Action', 'Crime', 'Drama']","['Germany', 'United States of America']",['English'],33.488,"When undercover FBI agent Frank Castle's wife and son are slaughtered, he becomes 'the Punisher' -- a ruthless vigilante willing to go to any length to avenge his family.",124,6.33,2624,2004-04-15,en
vertigo,Vertigo,1958,tt0052357,426,"['Mystery', 'Romance', 'Thriller']",['United States of America'],['English'],34.793,"A retired San Francisco detective suffering from acrophobia investigates the strange activities of an old friend's wife, all the while becoming dangerously obsessed with her.",128,8.174,5347,1958-05-28,en
12-angry-men,12 Angry Men,1957,tt0050083,389,['Drama'],['United States of America'],['English'],48.501,"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.",97,8.546,7889,1957-04-10,en
the-prestige,The Prestige,2006,tt0482571,1124,"['Drama', 'Mystery', 'Science Fiction']","['United Kingdom', 'United States of America']",['English'],52.641,"A mysterious story of two magicians whose intense rivalry leads them on a life-long battle for supremacy -- full of obsession, deceit and jealousy with dangerous and deadly consequences.",130,8.205,14965,2006-10-19,en
avatar,Avatar,2009,tt0499549,19995,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']","['United States of America', 'United Kingdom']","['English', 'Español']",154.3,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",162,7.576,30194,2009-12-15,en
north-by-northwest,North by Northwest,1959,tt0053125,213,"['Mystery', 'Thriller', 'Adventure']",['United States of America'],['English'],29.041,"Advertising man Roger Thornhill is mistaken for a spy, triggering a deadly cross-country chase.",136,7.99,3809,1959-07-08,en
the-dark-knight,The Dark Knight,2008,tt0468569,155,"['Drama', 'Action', 'Crime', 'Thriller']","['United Kingdom', 'United States of America']","['English', '普通话']",179.031,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",152,8.5,31133,2008-07-16,en
the-last-duel-2021,The Last Duel,2021,tt4244994,617653,"['History', 'Drama', 'Action']","['United Kingdom', 'United States of America']","['English', 'Français', 'Română']",42.909,"King Charles VI declares that Knight Jean de Carrouges settle his dispute with his squire, Jacques Le Gris, by challenging him to a duel.",153,7.459,3045,2021-10-13,en
the-departed,The Departed,2006,tt0407887,1422,"['Drama', 'Thriller', 'Crime']","['Hong Kong', 'United States of America']","['English', '广州话 / 廣州話']",48.287,"To take down South Boston's Irish Mafia, the police send in one of their own to infiltrate the underworld, not realizing the syndicate has done likewise. While an undercover cop curries favor with the mob kingpin, a career criminal rises through the police ranks. But both sides soon discover there's a mole among them.",151,8.166,14021,2006-10-04,en
rope,Rope,1948,tt0040746,1580,"['Thriller', 'Crime', 'Drama']",['United States of America'],['English'],21.686,"Two men murder a man in cold blood for the thrill and invite his parents over for a celebration to prove they have committed the perfect crime, but they also have to deal with their former schoolmaster, who becomes suspicious.",81,8.0,2451,1948-03-11,en
avengers-infinity-war,Avengers: Infinity War,2018,tt4154756,299536,"['Adventure', 'Action', 'Science Fiction']",['United States of America'],"['English', '']",208.931,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",149,8.252,28154,2018-04-25,en
zodiac,Zodiac,2007,tt0443706,1949,"['Crime', 'Drama', 'Mystery', 'Thriller']",['United States of America'],['English'],46.126,A cartoonist teams up with an ace reporter and a law enforcement officer to track down an elusive serial killer.,163,7.521,9776,2007-03-02,en
casino-royale-2006,Casino Royale,2006,tt0381061,36557,"['Adventure', 'Action', 'Thriller']","['United Kingdom', 'United States of America']","['English', 'Français']",70.487,"Le Chiffre, a banker to the world's terrorists, is scheduled to participate in a high-stakes poker game in Montenegro, where he intends to use his winnings to establish his financial grip on the terrorist market. M sends Bond—on his maiden mission as a 00 Agent—to attend this game and prevent Le Chiffre from winning. With the help of Vesper Lynd and Felix Leiter, Bond enters the most important poker game in his already dangerous career.",144,7.549,10117,2006-11-14,en
la-la-land,La La Land,2016,tt3783958,313369,"['Comedy', 'Drama', 'Romance', 'Music']","['Hong Kong', 'United States of America']",['English'],55.733,"Mia, an aspiring actress, serves lattes to movie stars in between auditions and Sebastian, a jazz musician, scrapes by playing cocktail party gigs in dingy bars, but as success mounts they are faced with decisions that begin to fray the fragile fabric of their love affair, and the dreams they worked so hard to maintain in each other threaten to rip them apart.",129,7.901,15813,2016-11-29,en
inglourious-basterds,Inglourious Basterds,2009,tt0361748,16869,"['Drama', 'Thriller', 'War']","['France', 'Germany', 'United States of America']","['Deutsch', 'English', 'Français', 'Italiano']",73.537,"In Nazi-occupied France during World War II, a group of Jewish-American soldiers known as ""The Basterds"" are chosen specifically to spread fear throughout the Third Reich by scalping and brutally killing Nazis. The Basterds, lead by Lt. Aldo Raine soon cross paths with a French-Jewish teenage girl who runs a movie theater in Paris which is targeted by the soldiers.",153,8.216,21092,2009-08-02,en
citizen-kane,Citizen Kane,1941,tt0033467,15,"['Mystery', 'Drama']",['United States of America'],['English'],30.095,"Newspaper magnate, Charles Foster Kane is taken from his mother as a boy and made the ward of a rich industrialist. As a result, every well-meaning, tyrannical or self-destructive move he makes for the rest of his life appears in some way to be a reaction to that deeply wounding event.",119,8.012,5128,1941-04-17,en
the-misadventures-of-rick-and-morty,The Misadventures of Rick and Morty,2015,tt5195738,612972,"['Animation', 'Comedy', 'Science Fiction']",['United States of America'],['English'],5.327,"An original stop-motion short, featuring the voice of Rick and Morty himself: Justin Roiland.",2,6.5,17,2015-11-11,en
fury-2014,Fury,2014,tt2713180,228150,"['War', 'Drama', 'Action']",['United States of America'],"['English', 'Deutsch', 'Español']",98.448,"In the last months of World War II, as the Allies make their final push in the European theatre, a battle-hardened U.S. Army sergeant named 'Wardaddy' commands a Sherman tank called 'Fury' and its five-man crew on a deadly mission behind enemy lines. Outnumbered and outgunned, Wardaddy and his men face overwhelming odds in their heroic attempts to strike at the heart of Nazi Germany.",135,7.526,11207,2014-10-15,en
nightcrawler,Nightcrawler,2014,tt2872718,242582,"['Crime', 'Drama', 'Thriller']",['United States of America'],['English'],46.504,"When Lou Bloom, desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story. Aiding him in his effort is Nina, a TV-news veteran.",118,7.706,10165,2014-10-23,en
whiplash-2014,Whiplash,2014,tt2582802,244786,"['Drama', 'Music']",['United States of America'],['English'],76.911,"Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.",107,8.384,14145,2014-10-10,en
magnolia,Magnolia,1999,tt0175880,334,['Drama'],['United States of America'],"['English', 'Français', 'Deutsch']",22.802,"An epic mosaic of many interrelated characters in search of happiness, forgiveness, and meaning in the San Fernando Valley.",189,7.731,3292,1999-12-10,en
american-beauty,American Beauty,1999,tt0169547,14,['Drama'],['United States of America'],['English'],39.211,"Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend.",122,8.02,11433,1999-09-15,en
the-revenant-2015,The Revenant,2015,tt1663202,281957,"['Western', 'Drama', 'Adventure']","['Canada', 'Hong Kong', 'Taiwan', 'United States of America']","['English', 'Français']",51.041,"In the 1820s, a frontiersman, Hugh Glass, sets out on a path of vengeance against those who left him for dead after a bear mauling.",157,7.529,17314,2015-12-25,en
sherlock-case-of-evil,Sherlock: Case of Evil,2002,tt0337593,46561,"['Action', 'Adventure', 'Crime', 'Drama', 'Mystery', 'Thriller', 'TV Movie']","['Romania', 'United Kingdom', 'United States of America']",['English'],5.398,"Early in his crime-solving career, Sherlock Holmes attempts to prevent Moriarty from cornering the heroin market.",100,6.2,26,2002-10-25,en
the-matrix,The Matrix,1999,tt0133093,603,"['Action', 'Science Fiction']",['United States of America'],['English'],90.574,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.",136,8.21,24238,1999-03-30,en
mad-max-fury-road,Mad Max: Fury Road,2015,tt1392190,76341,"['Action', 'Adventure', 'Science Fiction']","['Australia', 'United States of America']",['English'],139.834,"An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order.",121,7.586,21178,2015-05-13,en
the-green-mile,The Green Mile,1999,tt0120689,497,"['Fantasy', 'Drama', 'Crime']",['United States of America'],"['Français', 'English']",77.867,"A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cell block's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.",189,8.509,16273,1999-12-10,en
the-truman-show,The Truman Show,1998,tt0120382,37165,"['Comedy', 'Drama']",['United States of America'],['English'],61.451,"Truman Burbank is the star of The Truman Show, a 24-hour-a-day reality TV show that broadcasts every aspect of his life without his knowledge. His entire life has been an unending soap opera for consumption by the rest of the world. And everyone he knows, including his wife and his best friend, is really an actor, paid to be part of his life.",103,8.136,17153,1998-06-04,en
toy-story,Toy Story,1995,tt0114709,862,"['Animation', 'Adventure', 'Family', 'Comedy']",['United States of America'],['English'],135.75,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",81,7.971,17413,1995-10-30,en
the-usual-suspects,The Usual Suspects,1995,tt0114814,629,"['Drama', 'Crime', 'Thriller']",['United States of America'],"['Español', 'English', 'Français', 'Magyar']",36.621,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.",106,8.192,9774,1995-07-19,en
shutter-island,Shutter Island,2010,tt1130884,11324,"['Drama', 'Thriller', 'Mystery']",['United States of America'],"['English', 'Deutsch']",63.812,"World War II soldier-turned-U.S. Marshal Teddy Daniels investigates the disappearance of a patient from a hospital for the criminally insane, but his efforts are compromised by troubling visions and a mysterious doctor.",138,8.201,22680,2010-02-14,en
forrest-gump,Forrest Gump,1994,tt0109830,13,"['Comedy', 'Drama', 'Romance']",['United States of America'],['English'],90.241,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",142,8.477,25854,1994-06-23,en
the-shawshank-redemption,The Shawshank Redemption,1994,tt0111161,278,"['Drama', 'Crime']",['United States of America'],['English'],114.17,"Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",142,8.707,25187,1994-09-23,en
casino,Casino,1995,tt0112641,524,"['Crime', 'Drama', 'History']","['France', 'United States of America']",['English'],29.193,"In early-1970s Las Vegas, Sam ""Ace"" Rothstein gets tapped by his bosses to head the Tangiers Casino. At first, he's a great success in the job, but over the years, problems with his loose-cannon enforcer Nicky Santoro, his ex-hustler wife Ginger, her con-artist ex Lester Diamond and a handful of corrupt politicians put Sam in ever-increasing danger.",179,8.011,5378,1995-11-22,en
pulp-fiction,Pulp Fiction,1994,tt0110912,680,"['Thriller', 'Crime']",['United States of America'],"['English', 'Español', 'Français']",87.261,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",154,8.489,26342,1994-09-10,en
a-bronx-tale,A Bronx Tale,1993,tt0106489,1607,"['Drama', 'Crime']",['United States of America'],"['English', 'Italiano']",35.643,"Set in the Bronx during the tumultuous 1960s, an adolescent boy is torn between his honest, working-class father and a violent yet charismatic crime boss. Complicating matters is the youngster's growing attraction - forbidden in his neighborhood - for a beautiful black girl.",121,7.9,2208,1993-10-01,en
bikram-yogi-guru-predator,"Bikram: Yogi, Guru, Predator",2019,tt10883004,621753,"['Documentary', 'Crime']",['United States of America'],['English'],11.789,The spectacular rise and scandalous fall of hot-yoga evangelist Bikram Choudhury is chronicled through archival footage and extensive insider interviews.,86,6.296,113,2019-09-10,en
reptile-2023,Reptile,2023,tt13274016,866463,"['Thriller', 'Crime', 'Drama', 'Mystery']",['United States of America'],['English'],51.123,"Following the brutal murder of a young real estate agent, a hardened detective attempts to uncover the truth in a case where nothing is as it seems, and by doing so dismantles the illusions in his own life.",136,6.848,586,2023-09-29,en
skandal-bringing-down-wirecard,Skandal! Bringing Down Wirecard,2022,tt21836620,1014550,['Documentary'],"['Germany', 'United Kingdom', 'United States of America']",['English'],7.043,Upstart payment firm Wirecard wowed the financial industry with its runaway success — until a tenacious team of journalists exposed massive fraud.,92,7.5,36,2022-09-16,en
the-killer-2023,The Killer,2023,tt1136617,800158,"['Crime', 'Thriller']",['United States of America'],"['English', 'Español', 'Français']",99.282,"After a fateful near-miss, an assassin battles his employers, and himself, on an international manhunt he insists isn't personal.",118,6.628,1355,2023-10-25,en
